epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.22,2.27075,3.15125,1.6918,0.2356,0.20841,0.12527,0.0425,3.02364,5.58991,1.73813,0.000665138,0.000665138,0.000665138
2,277.105,2.33027,2.52822,1.76106,0.21769,0.24474,0.14742,0.05844,2.59288,4.533,1.60553,0.00130543,0.00130543,0.00130543
3,419.983,2.32316,2.42598,1.72935,0.26638,0.21893,0.1568,0.06235,2.54905,2.85272,1.55297,0.00191933,0.00191933,0.00191933
4,568.005,2.23468,2.28752,1.68376,0.25832,0.22562,0.17175,0.07483,2.486,2.26175,1.46661,0.0018812,0.0018812,0.0018812
5,713.724,2.19832,2.21568,1.67248,0.42335,0.21224,0.21687,0.10117,2.52366,2.32499,1.46021,0.0018416,0.0018416,0.0018416
6,859.98,2.15393,2.1319,1.62957,0.45736,0.2925,0.28718,0.13178,2.41629,2.28174,1.4337,0.001802,0.001802,0.001802
7,1006.4,2.11724,2.07372,1.60752,0.48117,0.31166,0.30508,0.14001,2.4623,2.20175,1.41081,0.0017624,0.0017624,0.0017624
8,1153.21,2.11483,2.07989,1.59099,0.41685,0.26004,0.25659,0.12351,2.27359,2.05246,1.39299,0.0017228,0.0017228,0.0017228
9,1300.4,2.05578,2.00448,1.56776,0.52135,0.31644,0.32906,0.15644,2.25026,1.98913,1.33156,0.0016832,0.0016832,0.0016832
10,1450.49,2.0544,1.96995,1.55137,0.48944,0.32259,0.32811,0.16425,2.26914,1.82591,1.32829,0.0016436,0.0016436,0.0016436
11,1598.68,2.02549,1.93001,1.53561,0.52427,0.31836,0.32149,0.15581,2.17008,2.00553,1.31819,0.001604,0.001604,0.001604
12,1744.68,2.04071,1.94211,1.5412,0.54423,0.3566,0.37253,0.17094,2.23192,1.92388,1.33208,0.0015644,0.0015644,0.0015644
13,1894.91,1.99455,1.86316,1.51718,0.57439,0.32792,0.3534,0.18145,2.11866,1.81793,1.28399,0.0015248,0.0015248,0.0015248
14,2039.72,1.99601,1.85695,1.52184,0.5261,0.35766,0.37797,0.19226,2.16931,1.69059,1.28918,0.0014852,0.0014852,0.0014852
15,2181.22,1.98334,1.8146,1.50799,0.51918,0.33963,0.36702,0.18872,2.16986,1.83713,1.30942,0.0014456,0.0014456,0.0014456
16,2327.07,1.96113,1.79445,1.48976,0.54229,0.3413,0.3519,0.18677,2.11535,1.75612,1.28498,0.001406,0.001406,0.001406
17,2471.78,1.96647,1.78223,1.49464,0.5869,0.35086,0.37038,0.19536,2.14221,1.65057,1.31681,0.0013664,0.0013664,0.0013664
18,2626.7,1.93783,1.76576,1.48046,0.54381,0.38432,0.40935,0.21371,2.08387,1.63101,1.25883,0.0013268,0.0013268,0.0013268
19,2772.08,1.94003,1.76273,1.48275,0.58441,0.34013,0.3756,0.19188,2.13018,1.70373,1.2699,0.0012872,0.0012872,0.0012872
20,2919.12,1.93137,1.73871,1.46101,0.62218,0.36329,0.40253,0.20919,2.06318,1.72231,1.26027,0.0012476,0.0012476,0.0012476
21,3070.31,1.92808,1.70228,1.46356,0.58613,0.39866,0.42833,0.21821,2.00719,1.66385,1.23079,0.001208,0.001208,0.001208
22,3219.8,1.9127,1.70189,1.4562,0.60607,0.38337,0.42061,0.2285,1.98947,1.61826,1.21495,0.0011684,0.0011684,0.0011684
23,3362.9,1.91045,1.6849,1.45591,0.55331,0.40263,0.41677,0.21881,2.06138,1.62801,1.23131,0.0011288,0.0011288,0.0011288
24,3503.67,1.89452,1.67377,1.45203,0.58159,0.37667,0.41483,0.2228,2.04306,1.62997,1.24886,0.0010892,0.0010892,0.0010892
25,3642.04,1.88049,1.64216,1.44014,0.64575,0.42447,0.46685,0.24473,2.00719,1.51268,1.22429,0.0010496,0.0010496,0.0010496
26,3782.77,1.88346,1.64938,1.43713,0.62219,0.38241,0.43309,0.23711,1.98828,1.57552,1.23106,0.00101,0.00101,0.00101
27,3922.23,1.8737,1.62948,1.434,0.66753,0.39962,0.47209,0.25055,1.93962,1.50582,1.2031,0.0009704,0.0009704,0.0009704
28,4064.3,1.86184,1.60483,1.41023,0.64544,0.4055,0.45312,0.24838,1.92636,1.55394,1.19196,0.0009308,0.0009308,0.0009308
29,4201.83,1.85841,1.62083,1.41583,0.67839,0.40918,0.47146,0.25658,1.90196,1.4804,1.19185,0.0008912,0.0008912,0.0008912
30,4336.13,1.8554,1.57554,1.40681,0.60765,0.42734,0.47168,0.25334,1.95878,1.46177,1.21131,0.0008516,0.0008516,0.0008516
31,4475.17,1.84937,1.57884,1.40756,0.64207,0.43881,0.50604,0.27289,1.8974,1.40749,1.17159,0.000812,0.000812,0.000812
32,4613.84,1.81864,1.55274,1.39577,0.63548,0.42065,0.46633,0.26016,1.87922,1.4636,1.1772,0.0007724,0.0007724,0.0007724
33,4753.56,1.83077,1.56553,1.40723,0.68576,0.41683,0.49143,0.27235,1.8886,1.48426,1.17449,0.0007328,0.0007328,0.0007328
34,4890.64,1.81549,1.52517,1.39347,0.68074,0.4369,0.50334,0.27987,1.86029,1.38939,1.16529,0.0006932,0.0006932,0.0006932
35,5026.56,1.82729,1.53033,1.39907,0.68281,0.43595,0.50236,0.27549,1.90316,1.41601,1.17086,0.0006536,0.0006536,0.0006536
36,5164.12,1.79856,1.50147,1.38622,0.68049,0.44795,0.50703,0.28352,1.85829,1.39321,1.16808,0.000614,0.000614,0.000614
37,5305.11,1.80629,1.48766,1.38124,0.68483,0.44646,0.51554,0.28476,1.86303,1.40071,1.15585,0.0005744,0.0005744,0.0005744
38,5446.27,1.79964,1.4923,1.38879,0.66777,0.45315,0.50983,0.28311,1.86708,1.4014,1.16764,0.0005348,0.0005348,0.0005348
39,5588.13,1.79763,1.46863,1.38023,0.69151,0.44837,0.52034,0.29264,1.82554,1.37546,1.14835,0.0004952,0.0004952,0.0004952
40,5728.61,1.76953,1.45536,1.36793,0.6588,0.44672,0.50637,0.28432,1.84049,1.40957,1.15125,0.0004556,0.0004556,0.0004556
41,5903.08,1.79547,1.43015,1.39738,0.69762,0.4522,0.52653,0.29506,1.82461,1.35442,1.14422,0.000416,0.000416,0.000416
42,6036.34,1.77845,1.41248,1.38901,0.67679,0.45889,0.52306,0.29572,1.83967,1.3462,1.14911,0.0003764,0.0003764,0.0003764
43,6173.77,1.7498,1.3805,1.37803,0.66707,0.46367,0.52453,0.29645,1.82779,1.37698,1.14518,0.0003368,0.0003368,0.0003368
44,6307.76,1.74764,1.3758,1.37805,0.75919,0.43101,0.53085,0.30458,1.81232,1.34698,1.13207,0.0002972,0.0002972,0.0002972
45,6441.22,1.74022,1.34112,1.37033,0.73128,0.45029,0.5282,0.30797,1.80258,1.34121,1.12984,0.0002576,0.0002576,0.0002576
46,6577.11,1.73007,1.33728,1.36781,0.71246,0.45889,0.53252,0.3105,1.82238,1.33947,1.13282,0.000218,0.000218,0.000218
47,6712.25,1.72491,1.31893,1.36131,0.7083,0.45985,0.53131,0.3094,1.82016,1.33246,1.1334,0.0001784,0.0001784,0.0001784
48,6843.7,1.71743,1.30859,1.35652,0.69909,0.46463,0.5356,0.31049,1.82299,1.31587,1.13413,0.0001388,0.0001388,0.0001388
49,6977.21,1.7063,1.29381,1.34859,0.74106,0.4522,0.54054,0.3173,1.77842,1.31592,1.12251,9.92e-05,9.92e-05,9.92e-05
50,7112.05,1.69256,1.28589,1.34145,0.73291,0.45889,0.53631,0.31616,1.77797,1.32343,1.12368,5.96e-05,5.96e-05,5.96e-05
